,loss,params,iteration,estimators
47,0.23345236786984513,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6389016764348592, 'learning_rate': 0.02376786785108316, 'min_child_samples': 255, 'num_leaves': 116, 'reg_alpha': 0.8217277834069372, 'reg_lambda': 0.13833831070056632, 'subsample_for_bin': 220000, 'subsample': 0.5627770288793608}",416,153
48,0.23347143940376835,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6224711294955966, 'learning_rate': 0.018446888141332204, 'min_child_samples': 270, 'num_leaves': 125, 'reg_alpha': 0.35263501549675835, 'reg_lambda': 0.0005616604685148019, 'subsample_for_bin': 240000, 'subsample': 0.5430785780852831}",932,156
49,0.2335645033310566,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6142079076781389, 'learning_rate': 0.023503930625786776, 'min_child_samples': 270, 'num_leaves': 80, 'reg_alpha': 0.998571999758277, 'reg_lambda': 0.8942564989337105, 'subsample_for_bin': 240000, 'subsample': 0.8663506815667653}",632,115
50,0.2335840940547611,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6153166174380517, 'learning_rate': 0.025885288240547522, 'min_child_samples': 260, 'num_leaves': 83, 'reg_alpha': 0.29669583132136923, 'reg_lambda': 0.4887212615154432, 'subsample_for_bin': 280000, 'subsample': 0.5511467714525423}",953,123
51,0.2335964284564891,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6488904559836142, 'learning_rate': 0.020159587130239916, 'min_child_samples': 265, 'num_leaves': 91, 'reg_alpha': 0.25047187127559445, 'reg_lambda': 0.8663555913125897, 'subsample_for_bin': 20000, 'subsample': 0.947233913668008}",261,149
52,0.2336426772766781,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6084483883640125, 'learning_rate': 0.021058099772305303, 'min_child_samples': 270, 'num_leaves': 75, 'reg_alpha': 0.5803274336501067, 'reg_lambda': 0.9757512840573458, 'subsample_for_bin': 220000, 'subsample': 0.929348883329442}",994,153
53,0.23364423148194136,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7076648051844469, 'learning_rate': 0.037317480224466994, 'min_child_samples': 205, 'num_leaves': 120, 'reg_alpha': 0.26078348359477055, 'reg_lambda': 0.16041509775420343, 'subsample_for_bin': 200000, 'subsample': 0.8505979130686545}",141,86
54,0.23364430717375617,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6407421032938309, 'learning_rate': 0.017497112525056212, 'min_child_samples': 265, 'num_leaves': 130, 'reg_alpha': 0.5697835627816745, 'reg_lambda': 0.010551915222482305, 'subsample_for_bin': 300000, 'subsample': 0.5501308231064436}",437,164
55,0.23365179814035875,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6312470181811568, 'learning_rate': 0.017252664626123692, 'min_child_samples': 245, 'num_leaves': 57, 'reg_alpha': 0.13575272473260724, 'reg_lambda': 0.22341540995549858, 'subsample_for_bin': 240000, 'subsample': 0.8055849302479068}",254,162
56,0.23367196888763642,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.600010161109244, 'learning_rate': 0.01990942646711, 'min_child_samples': 265, 'num_leaves': 132, 'reg_alpha': 0.20457789009271643, 'reg_lambda': 0.2010081057100479, 'subsample_for_bin': 240000, 'subsample': 0.6027905554878732}",586,153
57,0.23368980636463876,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6309264344722169, 'learning_rate': 0.026255207577617637, 'min_child_samples': 270, 'num_leaves': 70, 'reg_alpha': 0.21499757545266235, 'reg_lambda': 0.9691943248747125, 'subsample_for_bin': 300000, 'subsample': 0.5379770589046946}",817,117
58,0.23370793259189748,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6643826686914228, 'learning_rate': 0.020135169123604767, 'min_child_samples': 230, 'num_leaves': 109, 'reg_alpha': 0.9655816573791568, 'reg_lambda': 0.11982717857589847, 'subsample_for_bin': 280000, 'subsample': 0.610641436779793}",423,169
59,0.23372387777353032,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6442615484272511, 'learning_rate': 0.018036888339647447, 'min_child_samples': 245, 'num_leaves': 70, 'reg_alpha': 0.1186047611186731, 'reg_lambda': 0.980702549791515, 'subsample_for_bin': 280000, 'subsample': 0.5379035181477732}",792,164
60,0.2337242803418489,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6413797989542891, 'learning_rate': 0.018134344142488233, 'min_child_samples': 250, 'num_leaves': 62, 'reg_alpha': 0.21624013158676522, 'reg_lambda': 0.8544715517078351, 'subsample_for_bin': 260000, 'subsample': 0.9832159536324361}",868,149
61,0.23372921993361317,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6202328279264371, 'learning_rate': 0.01603894495914864, 'min_child_samples': 270, 'num_leaves': 122, 'reg_alpha': 0.4732452644282934, 'reg_lambda': 0.04264523071597734, 'subsample_for_bin': 260000, 'subsample': 0.6304041368153399}",441,180
62,0.23374454836712577,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6466666842116338, 'learning_rate': 0.0196581333557005, 'min_child_samples': 245, 'num_leaves': 98, 'reg_alpha': 0.7199944746550399, 'reg_lambda': 0.019605243974613648, 'subsample_for_bin': 240000, 'subsample': 0.5307040189085991}",408,156
63,0.23377918830564826,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6085146138919943, 'learning_rate': 0.013614503510641513, 'min_child_samples': 235, 'num_leaves': 75, 'reg_alpha': 0.2791496167241191, 'reg_lambda': 0.8408924482701232, 'subsample_for_bin': 80000, 'subsample': 0.9179224444860553}",258,231
64,0.23378947874803724,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6652436995918771, 'learning_rate': 0.025382536978585758, 'min_child_samples': 240, 'num_leaves': 118, 'reg_alpha': 0.6420793206015895, 'reg_lambda': 0.39609822329347927, 'subsample_for_bin': 240000, 'subsample': 0.923878431823275}",718,117
65,0.23379984936768172,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6060973589463716, 'learning_rate': 0.021202169913170137, 'min_child_samples': 250, 'num_leaves': 73, 'reg_alpha': 0.08012201278160858, 'reg_lambda': 0.95011975707863, 'subsample_for_bin': 300000, 'subsample': 0.5698338540296151}",795,162
66,0.23380127798060069,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6303122636037011, 'learning_rate': 0.02115784671299768, 'min_child_samples': 240, 'num_leaves': 67, 'reg_alpha': 0.12693424298257333, 'reg_lambda': 0.658070142620038, 'subsample_for_bin': 280000, 'subsample': 0.623275733313594}",940,153
67,0.23381264184505912,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6193294249955176, 'learning_rate': 0.01942511166168413, 'min_child_samples': 260, 'num_leaves': 63, 'reg_alpha': 0.12118268098248089, 'reg_lambda': 0.7442495555513613, 'subsample_for_bin': 20000, 'subsample': 0.6371336274382364}",998,140
68,0.23382567261148302,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.634888532806068, 'learning_rate': 0.016769848452704288, 'min_child_samples': 255, 'num_leaves': 64, 'reg_alpha': 0.14348873544950902, 'reg_lambda': 0.9024245044258933, 'subsample_for_bin': 280000, 'subsample': 0.5042264879562594}",805,162
69,0.23382703954958983,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6192589799369234, 'learning_rate': 0.027455645113351156, 'min_child_samples': 250, 'num_leaves': 125, 'reg_alpha': 0.364368960220252, 'reg_lambda': 0.19549254059987348, 'subsample_for_bin': 240000, 'subsample': 0.6142047441281319}",592,120
70,0.23383167132797422,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6074673495382389, 'learning_rate': 0.013384321496689727, 'min_child_samples': 235, 'num_leaves': 37, 'reg_alpha': 0.2346204948175713, 'reg_lambda': 0.8852673922608674, 'subsample_for_bin': 260000, 'subsample': 0.8852141849329631}",847,232
71,0.23386960806554036,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6252971300061991, 'learning_rate': 0.022854482774074703, 'min_child_samples': 275, 'num_leaves': 62, 'reg_alpha': 0.22827029471263777, 'reg_lambda': 0.9434380560783993, 'subsample_for_bin': 300000, 'subsample': 0.5076338141276849}",807,130
72,0.23387788033987533,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6840463327019698, 'learning_rate': 0.01893993656298262, 'min_child_samples': 240, 'num_leaves': 81, 'reg_alpha': 0.16388017492229887, 'reg_lambda': 0.8535182169852029, 'subsample_for_bin': 20000, 'subsample': 0.8204930702197571}",287,160
73,0.2338818763070154,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6325167055587494, 'learning_rate': 0.023275087887096046, 'min_child_samples': 245, 'num_leaves': 74, 'reg_alpha': 0.24069226161860469, 'reg_lambda': 0.9578817048694357, 'subsample_for_bin': 240000, 'subsample': 0.6958941312897441}",956,135
74,0.23388691401779893,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6526670762861487, 'learning_rate': 0.02883726129053776, 'min_child_samples': 240, 'num_leaves': 109, 'reg_alpha': 0.730972391046092, 'reg_lambda': 0.06588714041682787, 'subsample_for_bin': 240000, 'subsample': 0.5549623726100467}",417,96
75,0.23389435284115112,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7591080621290044, 'learning_rate': 0.021028553629607847, 'min_child_samples': 275, 'num_leaves': 48, 'reg_alpha': 0.40555146764814975, 'reg_lambda': 0.22814697323895639, 'subsample_for_bin': 220000, 'subsample': 0.7489724927799366}",382,125
76,0.23390100783371026,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6240783563249703, 'learning_rate': 0.025345064640067663, 'min_child_samples': 275, 'num_leaves': 125, 'reg_alpha': 0.5977699961500194, 'reg_lambda': 0.297105215025122, 'subsample_for_bin': 260000, 'subsample': 0.6781600744642362}",475,115
77,0.2339159774319528,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6434566727415829, 'learning_rate': 0.0210914882363351, 'min_child_samples': 270, 'num_leaves': 89, 'reg_alpha': 0.013917876386946304, 'reg_lambda': 0.022691068569184986, 'subsample_for_bin': 300000, 'subsample': 0.9683118125833867}",961,126
