,loss,params,iteration,estimators
42,0.23675298710738502,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 127, 'learning_rate': 0.07629108329695573, 'subsample_for_bin': 80000, 'min_child_samples': 455, 'reg_alpha': 1.0, 'reg_lambda': 0.26530612244897955, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.7070707070707071}",295,6
43,0.23678786785801476,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 47, 'learning_rate': 0.01709975946676697, 'subsample_for_bin': 280000, 'min_child_samples': 250, 'reg_alpha': 0.4897959183673469, 'reg_lambda': 0.6326530612244897, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.5404040404040404}",122,152
44,0.23680670026187123,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 81, 'learning_rate': 0.12935930820975056, 'subsample_for_bin': 100000, 'min_child_samples': 220, 'reg_alpha': 0.9387755102040816, 'reg_lambda': 0.9183673469387754, 'colsample_bytree': 1.0, 'subsample': 0.8232323232323233}",945,26
45,0.23682789621272915,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 133, 'learning_rate': 0.005226536265540098, 'subsample_for_bin': 80000, 'min_child_samples': 295, 'reg_alpha': 0.3061224489795918, 'reg_lambda': 0.7551020408163265, 'colsample_bytree': 0.6, 'subsample': 0.6666666666666667}",362,452
46,0.23688149106371215,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.006868866546589226, 'subsample_for_bin': 40000, 'min_child_samples': 275, 'reg_alpha': 0.3061224489795918, 'reg_lambda': 0.6938775510204082, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.7474747474747475}",141,340
47,0.23688532443362065,"{'class_weight': None, 'boosting_type': 'goss', 'num_leaves': 30, 'learning_rate': 0.1170843274661306, 'subsample_for_bin': 100000, 'min_child_samples': 490, 'reg_alpha': 0.18367346938775508, 'reg_lambda': 0.42857142857142855, 'colsample_bytree': 0.7333333333333333, 'subsample': 1.0}",815,7
48,0.2369068825838292,"{'class_weight': 'balanced', 'boosting_type': 'goss', 'num_leaves': 46, 'learning_rate': 0.013854191076355483, 'subsample_for_bin': 200000, 'min_child_samples': 150, 'reg_alpha': 0.6938775510204082, 'reg_lambda': 0.7551020408163265, 'colsample_bytree': 0.6444444444444444, 'subsample': 1.0}",5,69
49,0.23693191246527567,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 48, 'learning_rate': 0.05869669686992206, 'subsample_for_bin': 260000, 'min_child_samples': 275, 'reg_alpha': 0.3469387755102041, 'reg_lambda': 0.8775510204081632, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.9141414141414141}",784,53
50,0.23696712065308911,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 89, 'learning_rate': 0.005689816131820096, 'subsample_for_bin': 160000, 'min_child_samples': 280, 'reg_alpha': 0.6326530612244897, 'reg_lambda': 0.6530612244897959, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.8737373737373737}",439,276
51,0.2370143876683568,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 115, 'learning_rate': 0.006768156994200999, 'subsample_for_bin': 120000, 'min_child_samples': 275, 'reg_alpha': 0.8163265306122448, 'reg_lambda': 0.02040816326530612, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.8686868686868687}",940,373
52,0.23707577821558168,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 43, 'learning_rate': 0.02846397739454339, 'subsample_for_bin': 20000, 'min_child_samples': 225, 'reg_alpha': 0.36734693877551017, 'reg_lambda': 0.7142857142857142, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.6111111111111112}",812,106
53,0.2371155152969795,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 49, 'learning_rate': 0.008604161660966584, 'subsample_for_bin': 40000, 'min_child_samples': 240, 'reg_alpha': 0.7142857142857142, 'reg_lambda': 0.9183673469387754, 'colsample_bytree': 0.9111111111111111, 'subsample': 0.6717171717171717}",519,302
54,0.23711686513434294,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 82, 'learning_rate': 0.029425818963141368, 'subsample_for_bin': 60000, 'min_child_samples': 270, 'reg_alpha': 0.1020408163265306, 'reg_lambda': 0.24489795918367346, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.5808080808080808}",605,77
55,0.23712897498368712,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 67, 'learning_rate': 0.024374836560427333, 'subsample_for_bin': 120000, 'min_child_samples': 155, 'reg_alpha': 0.32653061224489793, 'reg_lambda': 0.3469387755102041, 'colsample_bytree': 0.6, 'subsample': 0.6919191919191919}",522,22
56,0.23713775747692156,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 141, 'learning_rate': 0.04042440469638247, 'subsample_for_bin': 140000, 'min_child_samples': 175, 'reg_alpha': 0.4693877551020408, 'reg_lambda': 0.7959183673469387, 'colsample_bytree': 0.6, 'subsample': 0.5656565656565656}",460,75
57,0.23714887968825293,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 59, 'learning_rate': 0.011142047804941286, 'subsample_for_bin': 200000, 'min_child_samples': 250, 'reg_alpha': 0.22448979591836732, 'reg_lambda': 0.7551020408163265, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.7424242424242424}",80,232
58,0.23714914292756428,"{'class_weight': None, 'boosting_type': 'goss', 'num_leaves': 47, 'learning_rate': 0.006263159724102542, 'subsample_for_bin': 80000, 'min_child_samples': 470, 'reg_alpha': 0.7959183673469387, 'reg_lambda': 0.5306122448979591, 'colsample_bytree': 0.6, 'subsample': 1.0}",432,124
59,0.23719868181863546,"{'class_weight': 'balanced', 'boosting_type': 'goss', 'num_leaves': 128, 'learning_rate': 0.023232400445675372, 'subsample_for_bin': 180000, 'min_child_samples': 490, 'reg_alpha': 0.24489795918367346, 'reg_lambda': 0.7755102040816326, 'colsample_bytree': 0.6, 'subsample': 1.0}",969,20
60,0.23724862972584648,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 88, 'learning_rate': 0.06068014852203403, 'subsample_for_bin': 260000, 'min_child_samples': 285, 'reg_alpha': 0.7959183673469387, 'reg_lambda': 0.9387755102040816, 'colsample_bytree': 0.9111111111111111, 'subsample': 0.8535353535353536}",234,48
61,0.23727922323601913,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 80, 'learning_rate': 0.06581535611293016, 'subsample_for_bin': 20000, 'min_child_samples': 435, 'reg_alpha': 0.7551020408163265, 'reg_lambda': 0.8979591836734693, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.9646464646464648}",114,7
62,0.237314566267399,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 86, 'learning_rate': 0.02464635520590413, 'subsample_for_bin': 20000, 'min_child_samples': 260, 'reg_alpha': 0.7346938775510203, 'reg_lambda': 0.9387755102040816, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.5505050505050505}",806,94
